WEB_ADDRESS,RECALL_NUMBER,PRODUCT_DESCRIPTION,TRADE_NAME,RECALL_CLASS,CENTER,CENTER_CLASSIFICATION_DT,POSTED_INTERNET_DT,TERMINATION_DT,FIRM_NAME,MANUFACTURER_RECALL_REASON
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215532,Z-2557-2025,"TiBrid Stand Alone Intervertebral Body Fusion Device, TiBrid SA Angled Screwdrivers, Sizes 30 degree, 45 degree, and 60 degree angles.",TiBrid SA Angled Screwdriver,2,CDRH,2025/09/11 ,2025/09/11 21:06:39,,Omnia Medical,Failure of fusion system instruments in the field.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=214802,Z-2554-2025,"Reef TA Inserter, Part Number: TA2-001003, part of the Reef Interbody System",Reef TA Inserter,2,CDRH,2025/09/11 ,2025/09/11 21:06:34,,SEASPINE ORTHOPEDICS CORPORATION,"Inserter, used as part of a system with an intervertebral body fusion device, may contribute to difficulty disengaging the implant or improper implant positioning, which may may lead to prolonged surgery,  intraoperative revision, and may require the use of alternate instrumentation. Devices may also have incorrect UDI-DI marking."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215649,Z-2550-2025,"ICEfx Cryoablation System, portable helium-free desktop cryoablation unit, Material Numbers (UPN) FPRCH8000, FPRCH8000-02, H749396118000",ICEfx Cryoablation System,2,CDRH,2025/09/11 ,2025/09/11 21:06:37,,Boston Scientific Corporation,Certain desiccant tube subassemblies were built with end caps that were not correctly tightened.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215012,Z-2555-2025,"PILLAR SA Ti, STERILE, 37mm (W) x 28mm (D) x 18mm (H), 20-degrees, REF: 82-3713SP",Pillar SA Ti,2,CDRH,2025/09/11 ,2025/09/11 21:06:36,,Orthofix U.S. LLC,A 37 mm implant width intervertebral body fusion device has a labeling discrepancy with incorrect width of 33 mm stated on the outer label side flap and inner label side flap information box. The 37 mm width on the front labels is correct.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215547,Z-2553-2025,"10Fore Hemostasis Valve
Catalog Number / UDI-DI code:
MAPTEN4 / 00884450821305
MAPTEN42 / 00884450832509
MAPTEN452 / 00884450821329

The 10Fore Hemostasis Valve is intended to maintain hemostasis during the
introduction/withdrawal and use of diagnostic and interventional devices.",10Fore Hemostasis Valve,2,CDRH,2025/09/11 ,2025/09/11 21:06:32,,"Merit Medical Systems, Inc.",Due to a manufacturing issue involving the silicone quad ring where the ring is deformed or otherwise damaged and may cause a foreign body in the fluid pathway.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215546,Z-2552-2025,"Brand Name: ReQuest Measles IgM
Product Name: Enzyme Linked Immunoabsorbant Assay, Rubeola IgM
Model/Catalog Number: 01-190M
Software Version: N/A
Product Description: Measles IgM tests, performed using ELISA (Enzyme-Linked Immunosorbent Assay) method, used to detect the presence of IgM antibodies against measles virus in a patient's serum or plasma
Component: not a component
",ReQuest Measles IgM,2,CDRH,2025/09/11 ,2025/09/11 21:06:30,,"Quest International, Inc.",Measles IgM Test Kit lacks  premarket approval or clearance. 
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215650,Z-2551-2025,"Preventive Maintenance (PM) Kit ICEFX, Material Number (UPN) SPRPM8000",ICEfx Cryoablation System,2,CDRH,2025/09/11 ,2025/09/11 21:06:37,,Boston Scientific Corporation,Certain desiccant tube subassemblies were built with end caps that were not correctly tightened.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215548,Z-2546-2025,"Brand Name: DJO SURGICAL
Product Name: ALTIVATE REVERSE WEDGE GLENOID REAMER HEAD
Model/Catalog Number: 804-06-311
Product Description: Material: S.S/Nitronic, Non-Sterile

",DJO SURGICAL,2,CDRH,2025/09/10 ,2025/09/10 21:06:50,,"Encore Medical, LP",Their is a potential that the reamer may  kick or bind up  during or immediately prior to use. 
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215551,Z-2549-2025,"Brand Name: DJO SURGICAL
Product Name: FA S Altivate Reverse Glenoid Tray
Model/Catalog Number: None
Software Version: NA
Product Description: Enovis"" shoulder devices are intended for treatment of patients who are candidates for shoulder arthroplasty per the Indication for use. While total shoulder replacements are not intended to withstand activity levels and loads of normal healthy bone, they are a means of restoring mobility and reducing pain for many patients.

The AltiVate Reverse¿ Shoulder Prosthesis is indicated as a reverse shoulder replacement for patients with a functional deltoid muscle and a grossly deficient rotator cuff joint suffering from pain and dysfunction due to:
"" Severe arthropathy with a grossly deficient rotator cuff;
"" Previously failed joint replacement with a grossly deficient rotator cuff;
"" Fracture of glenohumeral joint from trauma or pathologic conditions of the shoulder including humeral head fracture, displaced 3- or 4-part fractures of proximal humerus, or reconstruction after tumor resection;
"" Bone defect in proximal humerus;
"" Non-inflammatory degenerative disease including osteoarthritis and avascular necrosis of the natural humeral head and/or glenoid;
"" Inflammatory arthritis including rheumatoid arthritis;
"" Correction of functional deformity.

The glenoid baseplate is intended for cementless application with addition of screws for fixation. This device may also be indicated in the salvage of previously failed surgical attempts for anatomic and hemi procedures.

All RSP¿ Monoblock and AltiVate Reverse¿ humeral stems are intended for cemented or cementless use.
Enovis"" instrumentation consists of devices and their accessories used in surgical procedures. Implantation of Enovis"" products should only be performed with Enovis"" instrumentation or instrumentation distributed by Enovis"". Enovis"" instruments and instrument cases are generally composed of titanium, stainless steel, aluminum, and/or polymeric materials. The cases may be multi-layered with various inserts to hold surgical instrumentation in place during handling and storage. The inserts may consist of trays, holders, and silicone mats. The instrument cases will allow sterilization of the contents to occur in a steam autoclave utilizing the cleaning, sterilization, and drying cycle that has been validated and detailed below. Instrument cases do not provide a sterile barrier and must be used in conjunction with FDA cleared sterilization wrap to maintain sterility. Instruments are provided non-sterile and should be stored in their original packaging until cleaned and sterilized according to the recommended guidelines listed below.
Component: NA
",DJO SURGICAL,2,CDRH,2025/09/10 ,2025/09/10 21:06:50,,"Encore Medical, LP",Their is a potential that the reamer may  kick or bind up  during or immediately prior to use. 
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215549,Z-2547-2025,"Brand Name: DJO SURGICAL
Product Name: ALTIVATE REVERSE WEDGE GLENOID REAMER BOSS DRILL, 6.5mm
Model/Catalog Number: 804-06-312
Product Description: Material: S.S., Non Sterile
",DJO SURGICAL,2,CDRH,2025/09/10 ,2025/09/10 21:06:50,,"Encore Medical, LP",Their is a potential that the reamer may  kick or bind up  during or immediately prior to use. 
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215024,Z-2545-2025,"QuickVue: Dipstick Strep A Test: 50T, REF: 20108; 25T, REF: 20125; 50T, SCN, REF: 20108SC",QuickVue Dipstick Strep A Test,2,CDRH,2025/09/10 ,2025/09/10 21:06:53,,Quidel Corporation,Dipstick strep A test has potential for false positive results.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215550,Z-2548-2025,"Brand Name: DJO SURGICAL
Product Name: ALTIVATE REVERSE WEDGE GLENOID REAMER SLEEVE
Model/Catalog Number: 804-06-310
Product Description: Material: S.S/CoCrMo, Non-Sterile ",DJO SURGICAL,2,CDRH,2025/09/10 ,2025/09/10 21:06:50,,"Encore Medical, LP",Their is a potential that the reamer may  kick or bind up  during or immediately prior to use. 
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215452,Z-2543-2025,"IntelliSpace Cardiovascular, Software 8.0.0.4.",IntelliSpace Cardiovascular,2,CDRH,2025/09/09 ,2025/09/09 21:06:25,,Philips Medical Systems Nederland B.V.,Software issue that results in the display of outdated information. 
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215544,Z-2544-2025,NOxBOXi Nitric Oxide Delivery System,NOxBOXi Nitric Oxide Delivery System,2,CDRH,2025/09/09 ,2025/09/09 21:06:26,,NOXBOX LTD,Replacement of the internal Sample Pump due to high failure rates.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215497,Z-2542-2025,"Atellica CH Urinary/Cerebrospinal Fluid Protein (UCFP). Material Number: 11097543.
",Atellica CH Urinary/Cerebrospinal Fluid Protein (UCFP),2,CDRH,2025/09/08 ,2025/09/08 21:06:25,,"Siemens Healthcare Diagnostics, Inc.","Potential for falsely depressed patient, quality control (QC), and/or calibration results or delayed results."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215473,Z-2541-2025,"LinkSymphoKnee System, Tibial Component, Modular, Symmetric, Sz. 5, CoCrMo/TiNbN, cemented, Fixed.  REF Number: 880-100/50",LinkSymphoKnee System,2,CDRH,2025/09/08 ,2025/09/08 21:06:23,,Waldemar Link GmbH & Co. KG (Mfg Site),"Some modular LinkSymphoKnee TiNbN Tibial Components were manufactured with two uncoated security screws, which is incorrect."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215155,Z-2537-2025,"CorNeat EverPatch, REF: 1036295, Permanent Tissue-Integrating Surgical Matrix, 5.0 mm x 6.5 mm x 100 um, SterileEO, RX only",CorNeat EverPatch,2,CDRH,2025/09/05 ,2025/09/05 21:06:36,,"CORNEAT VISION, LTD.","Retroactive; Due to complaints, labeling correction for permanent tissue-integrating surgical matrices to include prevention and management of would dehiscence."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215494,Z-2534-2025,"Boston Scientific Encore Advantage Kit, Material Numbers (UPN):  
1.	H74904527011;  
2.	H74904527052. 

(Interventional Cardiology and Peripheral Interventions)
","Encore"" 26 Advantage Kit",2,CDRH,2025/09/05 ,2025/09/05 21:06:32,,Boston Scientific Corporation,"The Encore 26 Inflation Device is used with balloon dilation catheters to create and monitor pressure in the balloon and to deflate the balloon. An internal investigation determined that during use, foreign material particles could migrate from affected Encore 26 Inflation Devices into a balloon dilatation catheter."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215630,Z-2531-2025,"Halyard, CPT BASIC IR PACK. Model Number: 1646381.

Convenience kit.
",Halyard,2,CDRH,2025/09/05 ,2025/09/05 21:06:39,,"AVID Medical, Inc.","Potential for open header bag seals, compromising sterility."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215610,Z-2529-2025,Artis Pheno. Image-Intensified Flouroscopic X-Ray System. ,ARTIC icono,2,CDRH,2025/09/05 ,2025/09/05 21:06:31,,"Siemens Medical Solutions USA, Inc",Limited system movements after startup .
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215522,Z-2528-2025,"Brand Name: CELSITE
Product Name: CELSITE BABYPORT SET PUR 4,5F IV USA
Model/Catalog Number: 5433742
Software Version: N/A
Product Description: CELSITE BABYPORT SET PUR 4,5F IV USA
Component: N/A
",CELSITE,2,CDRH,2025/09/05 ,2025/09/05 21:06:28,,B.Braun Medical S.A.S.,The potential for minor injury such as damage to the vessel and/or tearing of the vessel wall.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215495,Z-2535-2025,"Boston Scientific NephroMax Kit, Material Numbers (UPN):  
1.	M0062101180;  
2.	M0062101600. 

(Urology)
","NephroMax"" Kit",2,CDRH,2025/09/05 ,2025/09/05 21:06:32,,Boston Scientific Corporation,"The Encore 26 Inflation Device is used with balloon dilation catheters to create and monitor pressure in the balloon and to deflate the balloon. An internal investigation determined that during use, foreign material particles could migrate from affected Encore 26 Inflation Devices into a balloon dilatation catheter."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215148,Z-2484-2025,"ViziShot 2FLEX. Single Use Aspiration Needle. Model Number: NA-U403SX-4019.

The ViziShot 2 FLEX tissue biopsy device is made up of four main parts: a handle, a sheath, a needle, and a stylet. The sheath and needle are attached to the handle, and the stylet, which is removable, is located inside the needle tube.
",ViziShot 2FLEX,1,CDRH,2025/09/05 ,2025/09/05 21:06:29,,Olympus Corporation of the Americas,"Potential for undetected, deformed a-traumatic tips."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215493,Z-2533-2025,"Boston Scientific Encore 26 Inflation Device, Material Numbers (UPN):  
1.	H74904526011; 
2.	H74904526052; 
3.	M0067101140; 
4.	M001151050; 
5.	M001151062; 
6.	M00566670. 
(Interventional Cardiology, Peripheral Interventions)	","Encore"" 26 Inflation Device",2,CDRH,2025/09/05 ,2025/09/05 21:06:32,,Boston Scientific Corporation,"The Encore 26 Inflation Device is used with balloon dilation catheters to create and monitor pressure in the balloon and to deflate the balloon. An internal investigation determined that during use, foreign material particles could migrate from affected Encore 26 Inflation Devices into a balloon dilatation catheter."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215496,Z-2536-2025,"Boston Scientific UroMax Ultra Kit, Material Numbers (UPN):  
1.	M0062251200, 
2.	M0062251210, 
3.	M0062251220, 
4.	M0062251230, 
5.	M0062251240, 
6.	M0062251260, 
7.	M0062251290, 
8.	M0062251300, 
9.	M0062251310. 
10.	M0062251350, 
11.	M0062251360, 
12.	M0062251370.  
(Urology)
","UroMax Ultra"" Kit",2,CDRH,2025/09/05 ,2025/09/05 21:06:32,,Boston Scientific Corporation,"The Encore 26 Inflation Device is used with balloon dilation catheters to create and monitor pressure in the balloon and to deflate the balloon. An internal investigation determined that during use, foreign material particles could migrate from affected Encore 26 Inflation Devices into a balloon dilatation catheter."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215560,Z-2532-2025,"Brand Name: Fortress Introducer Sheath System
Product Name: Fortress Introducer Sheath System
Model/Catalog Number: 386594
Product Description: Fortress Introducer Sheath System, 6F Straight 45cm:
",Fortress Introducer Sheath System,2,CDRH,2025/09/05 ,2025/09/05 21:06:37,,Contract Medical International GmbH,"Units may have been packaged with an incorrect pouch label, which lists the reference number and unique device identifier of the 4F version of the device, rather than the packaged 6F version."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215629,Z-2530-2025,"Halyard, ENT PACK. Model Number: JACK421-04. 

Convenience kit.

",Halyard,2,CDRH,2025/09/05 ,2025/09/05 21:06:39,,"AVID Medical, Inc.","Potential for open header bag seals, compromising sterility."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215366,Z-2516-2025,"TOPS Inserter, part of the TOPS System Instrument Set used for implantation of the TOPS System. Model Number: 82889.",TOPS Inserter,2,CDRH,2025/09/04 ,2025/09/04 21:06:31,,PREMIA SPINE LTD,Potential for missing pins at tip of inserter.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215006,Z-2447-2025,"Brand Name: Dexcom G7 Continuous Glucose Monitoring System
Product Name: Dexcom G7 CGM iOS App
Model/Catalog Number: SW12300
Software Version: version 2.8.0 and earlier
Product Description: Dexcom G7 CGM iOS App
Component: Dexcom G7 Continuous Glucose Monitoring System
",Dexcom G7 Continuous Glucose Monitoring System,1,CDRH,2025/09/04 ,2025/09/04 21:06:18,,"Dexcom, Inc.","The affected devices are the Dexcom G7 Continuous Glucose Monitoring System (CGM System) using iOS, watchOS and Android App software (versions 2.8.0 or earlier) and Dexcom ONE+ CGM System using iOS and Android App software (versions 1.4.0 or earlier), henceforth referred to as the "
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215209,Z-2525-2025,"Smiths Medical CADD"" Medication Cassette Reservoir with flow stop, clamp and female Luer. Non-vented stopper included. 50mL, Product Code 21-7301-24
",Smiths Medical,2,CDRH,2025/09/04 ,2025/09/04 21:06:33,,ICU Medical Inc.,Certain CADD 50 mL and 100 mL Medication Cassette Reservoirs may exhibit weakened medication bag welds along the bag perimeter inside the plastic housing.  This could result in medication leakage along the bag perimeter.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215008,Z-2449-2025,"Brand Name: Dexcom ONE+ Continuous Glucose Monitoring System
Product Name: Dexcom ONE+ Android CGM App
Model/Catalog Number: SW14245
Software Version: versions 1.4.0 and earlier
Product Description: Dexcom ONE+ Androind CGM App
Component: Dexcom ONE+ Continuous Glucose Monitoring System
",Dexcom ONE+ Continuous Glucose Monitoring System,1,CDRH,2025/09/04 ,2025/09/04 21:06:18,,"Dexcom, Inc.","The affected devices are the Dexcom G7 Continuous Glucose Monitoring System (CGM System) using iOS, watchOS and Android App software (versions 2.8.0 or earlier) and Dexcom ONE+ CGM System using iOS and Android App software (versions 1.4.0 or earlier), henceforth referred to as the "
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215005,Z-2446-2025,"Brand Name: Dexcom G7 Continuous Glucose Monitoring System
Product Name: Dexcom G7 CGM Android App
Model/Catalog Number: SW12299
Software Version: version 2.8.0 and earlier
Product Description: Dexcom G7 CGM Android App SW12299
Component: Dexcom G7 Continuous Glucose Monitoring System
",Dexcom G7 Continuous Glucose Monitoring System,1,CDRH,2025/09/04 ,2025/09/04 21:06:18,,"Dexcom, Inc.","The affected devices are the Dexcom G7 Continuous Glucose Monitoring System (CGM System) using iOS, watchOS and Android App software (versions 2.8.0 or earlier) and Dexcom ONE+ CGM System using iOS and Android App software (versions 1.4.0 or earlier), henceforth referred to as the "
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215009,Z-2450-2025,"Brand Name: Dexcom ONE+ Continuous Glucose Monitoring System
Product Name: Dexcom ONE+ iOS CGM App
Model/Catalog Number: SW14244
Software Version: versions 1.4.0 and earlier
Product Description: Dexcom ONE+ iOS CGM App
Component: Dexcom ONE+ Continuous Glucose Monitoring System
",Dexcom ONE+ Continuous Glucose Monitoring System,1,CDRH,2025/09/04 ,2025/09/04 21:06:18,,"Dexcom, Inc.","The affected devices are the Dexcom G7 Continuous Glucose Monitoring System (CGM System) using iOS, watchOS and Android App software (versions 2.8.0 or earlier) and Dexcom ONE+ CGM System using iOS and Android App software (versions 1.4.0 or earlier), henceforth referred to as the "
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215490,Z-2520-2025," Orthopedic Pack, Model: 88041-12 AC2424601B 09/02/2029
 Universal Pack, Model: 77165-06  AC2424902B 09/05/2029","Orthopedic Pack, Model: 88041-12 AC2424601B 09/02/2029 Universal Pack, Model: 77165-06",2,CDRH,2025/09/04 ,2025/09/04 21:06:21,,O&M HALYARD INC,"Surgical drape packs may have open seals, which may compromise the sterility of the product."
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=214979,Z-2521-2025,"MI Cancer Seek REF MSC000
UDI Code: (01)00860008613325(21)H5HJHDSXF

MI Cancer Seek is a single-site assay intended to provide tumor mutational profiling to be used by qualified healthcare professionals in accordance with professional oncology guidelines for cancer patients with previously diagnosed solid malignant neoplasms.",MI Cancer Seek,2,CDRH,2025/09/04 ,2025/09/04 21:06:23,,CARIS LIFE SCIENCES,Due to an incorrect test results provided that indicated the incorrect drug therapy recommendation
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215206,Z-2522-2025,"Smiths Medical CADD Medication Cassette Reservoir with clamp and female Luer.  Nonvented stopper included. 50mL, Product Code 21-7001-24
",Smiths Medical,2,CDRH,2025/09/04 ,2025/09/04 21:06:33,,ICU Medical Inc.,Certain CADD 50 mL and 100 mL Medication Cassette Reservoirs may exhibit weakened medication bag welds along the bag perimeter inside the plastic housing.  This could result in medication leakage along the bag perimeter.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215207,Z-2523-2025,"Smiths Medical CADD Medication Cassette Reservoir with clamp and female Luer. Non-vented stopper included.  100mL, Product Code 21-7002-24
",Smiths Medical,2,CDRH,2025/09/04 ,2025/09/04 21:06:33,,ICU Medical Inc.,Certain CADD 50 mL and 100 mL Medication Cassette Reservoirs may exhibit weakened medication bag welds along the bag perimeter inside the plastic housing.  This could result in medication leakage along the bag perimeter.
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=215212,Z-2527-2025,"Smiths Medical NRFit CADD Yellow Medication Cassette Reservoir with NRFit connector with flow stop, yellow-striped tubing, clamp  and female NRFit connector. Yellow stopper included  100mL"", Product Code 21-7600-24",Smiths Medical,2,CDRH,2025/09/04 ,2025/09/04 21:06:33,,ICU Medical Inc.,Certain CADD 50 mL and 100 mL Medication Cassette Reservoirs may exhibit weakened medication bag welds along the bag perimeter inside the plastic housing.  This could result in medication leakage along the bag perimeter.
