Date,Safety Alert,Product Type,,
03/05/2025,Update on Alert: Nephroscope Sheath Issue from Trokamed GmbH,Medical Devices,,
03/03/2025,Power Assist Device Recall: Max Mobility/Permobil Removes SpeedControl Dial Component Used with SmartDrive MX2+ Power Assist Device Due to Risk for Motor to Be Unresponsive to the User,Medical Devices,,
03/03/2025,Pacemaker Recall: Boston Scientific Corporation Recalls Accolade Pacemaker Devices Due to a Manufacturing Issue That May Lead to Early Device Replacement,Medical Devices,,
03/03/2025,Vaporizer Recall: Getinge Removes Vaporizer Sevoflurane Quick-Fil and Expands Recall of Vaporizer Sevoflurane Maquet Filling due to Risk of Patient and Health Care Professional Exposure to Toxic Chemical Hydrogen Fluoride,,,
03/03/2025,Endovascular System Recall: Philips Removes and Discontinues Distribution of Tack Endovascular System Due to User Challenges That Caused Additional Procedures to Reposition or Remove Implant,,,
03/03/2025,"One Source Nutrition, Inc. Issues Voluntary Nationwide Recall of Vitality Capsules Due to  Presence of Undeclared Sildenafil and Tadalaﬁl","Drugs, Unapproved Drug",,
02/28/2025,Patient Table Correction: Philips Updates Use Instructions for Allura and Azurion Systems due to Patient Fall Risk from Incorrectly Positioned Mattresses,Medical Devices,,
02/28/2025,Endoscope Instrument Recall: Olympus Removes Single Use Guide Sheath Kits Due to Risk for Radiopaque Guide Sheath Tip Detaching During Procedures,Medical Devices,,
02/28/2025,Ablation Catheter Correction: Biosense Webster Updates Use Instructions for Varipulse due to High Rate of Stroke or Transient Ischemic Attack,,,
02/28/2025,"Regard Newborn Kit Recall: ROi CPS, LLC Removes Certain Newborn Kits Due to a Recalled Component, the Neo-Tee T-Piece Resuscitator With An Undersized Controller Spring",Medical Devices,,
02/26/2025,Natural Dior LLC Issues Voluntary Nationwide Recall of Vitafer-L Gold Liquid Due to Presence of  Undeclared Tadalafil,"Dietary Supplements, Drugs, Unapproved Drug",,
02/25/2025,Ascent Consumer Products Inc. Issues Voluntary Nationwide Recall of SinuCleanse Soft Tip Squeeze Bottle Nasal Wash System Due to Microbial Contamination,"Drugs, Microbial Contamination",,
02/25/2025,Central Admixture Pharmacy Services (CAPS) Issues Nationwide Recall of Phenylephrine 40 mg Added to 0.9% Sodium Chloride 250 mL in 250 mL Excel Bags Due to Visible Black Particulate Matter in a Single-Sealed Vial,"Drugs, Potential Foreign Material",,
02/20/2025,"One Source Nutrition, Inc. Issues Voluntary Nationwide Recall of Vitality Capsules Due to  Presence of Undeclared Sildenafil and Tadalaﬁl","Dietary Supplements, Drugs, Unapproved Drug",,
02/18/2025,BD Announces Voluntary Worldwide Recall for One Lot of ChloraPrep™ Clear  1 mL Applicators Due to Fungal Contamination,"Drugs, Microbial Contamination",,
02/14/2025,"Heart Pump Recall: Abiomed, Inc. Updates Use Instructions for Impella RP with SmartAssist and Impella RP Flex with SmartAssist Due to A Risk That the Tip of Guidewires or Other Medical Devices May Come into Contact with The Impella Pump During Insertion, Adjustment, Or Removal",Medical Devices,,
02/14/2025,"ICU Medical Issues Nationwide Recall of Potassium Chloride Injection, 20 mEq and Potassium Chloride Injection, 10 mEq Due to Mislabeling","Drugs, Mislabeling",,
02/10/2025,Breathing Circuit Kit Recall: Sentec/Percussionaire Removes VDR4 Phasitron Breathing Circuits due to Venturi Component Malfunctions that May Reduce Pressure and Volume Flow,,,
02/06/2025,"Arterial Catheter Recall: Medline Industries, LP, Removes Integrated Arterial Catheters due to Excess Material at Catheter Hub that May Detach",,,
02/05/2025,"Continuous Ventilator Correction: Baxter Healthcare Corporation Issues Correction for Life2000 Ventilator due to a nonconforming battery charger, which triggers a battery alarm and renders the ventilator inoperable","Medical Devices, Radiation-Emitting Products",,
02/05/2025,Oxygen Concentrator Recall: JIANGSU JUMAO X-CARE MEDICAL EQUIPMENT CO LTD Removes JMC5A Ni/TruAire-5 Oxygen Concentrator due to the devices spontaneously catching fire,Medical Devices,,
02/05/2025,"FDA Alerts Patients to Regularly Check Diabetes-Related Smartphone Device Alert Settings, Especially Following Phone Hardware or Software Changes: FDA Safety Communication",,,
02/03/2025,Pressure Monitoring Device Recall: Medtronic Neurosurgery Issues Correction for Becker and Exacta External Drainage and Monitoring Systems Due to Cracks And/Or Leaks in Stopcocks,Medical Devices,,
01/31/2025,2024 Medical Device Recalls,"Medical Devices, Radiation-Emitting Products",,
01/31/2025,Gas Powered Emergency Resuscitator Recall: Mercury Medical Removes Neo-Tee T-Piece Resuscitator Due to An Undersized Spring in The Controller That May Prevent the Device from Delivering the Required Pressure Levels Needed for Effective Ventilation,Medical Devices,,
01/31/2025,Alvogen Issues Voluntary Nationwide Recall for One Lot of Fentanyl Transdermal System 25 mcg/h Due to a Defective Delivery System,"Drugs, Potential Packaging Issue",,
01/30/2025,Glucose and Glucose/Ketone Meter Correction: Nova Biomedical Corporation Issues Software Correction for StatStrip Glucose and Glucose/Ketone Hospital Meters Due to Risk for Transmission of Incorrect Patient Results,Medical Devices,,
01/30/2025,Olympus Issues Medical Device Advisory Notice to Use Alternative Devices to the MAJ-891 Forceps/Irrigation Plug,"Defect, Medical Devices",,
01/24/2025,"Provepharm Inc. Issues Voluntary Nationwide Recall of One Lot of   Phenylephrine Hydrochloride Injection, USP, 10 mg/ mL (Pharmacy Bulk  Package) Due to Presence of Particulate Matter","Drugs, Potential Foreign Material",,
01/22/2025,"Copaxone, Glatopa (glatiramer acetate): Drug Safety Communication - FDA Adds Boxed Warning About a Rare but Serious Allergic Reaction Called Anaphylaxis",Drugs,,
01/17/2025,Max Mobility / Permobil Issues Nationwide Recall of SmartDrive Speed Control Dial Due to the Motor Being Unresponsive to the User,"Defect, Medical Devices",,
01/16/2025,Update: Evaluation of Airborne Chemicals from Neonatal Incubators - Letter to Health Care Providers,Medical Devices,,
01/16/2025,Neonatal Incubator Correction: GE HealthCare Updates Use Instructions for GE HealthCare Giraffe OmniBed Carestation and Incubator Carestation due to Risk of Patient Formaldehyde Exposure,Medical Devices,,
01/14/2025,Outpatient Telemetry Correction: Philips Issues Correction for Monitoring Service Application used with Mobile Cardiac Outpatient Telemetry Due to Potential for Missed Information or Notifications That May Impact Patient Care,Medical Devices,,
01/07/2025,FDA Requires Guillain-Barré Syndrome (GBS) Warning in the Prescribing Information for RSV Vaccines Abrysvo and Arexvy: FDA Safety Communication,"Biologics, Vaccines",,
12/24/2024,"Astellas Pharma US, Inc. Issues Voluntary Nationwide Recall of One Lot of PROGRAF® 0.5mg (Tacrolimus) and One Lot of ASTAGRAF XL® 0.5mg (Tacrolimus Extended-Release Capsules) Because Bottles Shipped to U.S. May Contain Empty Capsules","Drugs, Ingredient Level",,
12/23/2024,"Alcon Laboratories Issues Voluntary Nationwide Recall of One (1) Lot of Systane Lubricant Eye Drops Ultra PF, Single Vials On-the-Go, 25 count (Lot 10101), Due to Fungal Contamination","Drugs, Microbial Contamination",,
12/20/2024,"Endo USA, Inc. Issues Voluntary, Nationwide Recall of Adrenalin® Chloride Solution (EPINEPHrine Nasal Solution, USP) Due to the Potential for Administration Errors","Drugs, Unapproved Drug",,
12/20/2024,"Infusion Pump Battery Recall: ICU Medical Removes Some CSB Batteries Intended For Use With Plum 360, A+, and A+3 Infusion Systems Due to Reports of Allegedly Counterfeit, Untested Batteries In Use",Medical Devices,,
12/18/2024,Implantable Marker Recall: Hologic Removes BioZorb 3D Bioabsorbable Markers due to Risk for Patient Complications,Medical Devices,,
12/18/2024,"Hologic, Inc. Recalls BioZorb Marker Due to Complications with Implanted Devices",Medical Devices,,
12/18/2024,Update: Do Not Use BioZorb Marker Implantable Radiographic Marker Devices: FDA Safety Communication,Medical Devices,,
12/18/2024,Catheter Correction: Boston Scientific Updates Use Instructions for POLARx and POLARx FIT Cryoablation Balloon Catheters due to Higher than Anticipated Number of Reports of Atrio-Esophageal Fistula,Medical Devices,,
12/18/2024,Shoppers-Plaza Issues Voluntary Nationwide Recall of Fouzee Sugarlin Herbal Formula Due To Presence Of Undeclared Metformin And Glyburide,"Drugs, Unapproved Drug",,
12/17/2024,FDA Adds Warning About Rare Occurrence of Serious Liver Injury with Use of Veozah (fezolinetant) for Hot Flashes Due to Menopause. Stop Medicine if Signs and Symptoms of Liver Injury Occur - Drug Safety Communication,"Drugs, Prescription Drugs",,
12/13/2024,"Buy-herbal.com Issues Voluntary Nationwide Recall of Nhan Sam Tuyet Lien Truy Phong Hoan Capsules Due to Undeclared Furosemide, Dexamethasone and Chlorpheniramine","Drugs, Unapproved Drug",,
12/12/2024,Ocaliva (obeticholic acid) by Intercept Pharmaceuticals: Drug Safety Communication - Serious Liver Injury Being Observed in Patients without Cirrhosis,Drugs,,
12/04/2024,Syringe Recall: Cardinal Health Removes Certain Monoject U-100 mL Insulin Syringe Luer Lock with Tip Cap Soft Packs due to Incompatibility with Needleless Connectors,Medical Devices,,
11/29/2024,Biopsy Needle Recall: Elekta Removes Disposable Biopsy Needle Kits due to Risk of Microscopic Stainless Steel Debris Inside Needle,Medical Devices,,
11/29/2024,Insertion Tube Recall: FHC Removes microTargeting Insertion Tube Sets due to a Manufacturing Size Error That May Lead to Patient Harm,Medical Devices,,
11/29/2024,Hemodialysis Correction: Baxter Issues Correction for AK 98 Hemodialysis Machines Due to Risk of Patient Exposure to Higher Than Allowable Levels of Toxic Compound NDL-PCBA and/or NDL-PCBs,Medical Devices,,
11/21/2024,Mxbbb Issues Voluntary Nationwide Recall of Umary Acid Hyaluronic Due to the Presence of Diclofenac and Omeprazole,"Drugs, Unapproved Drug",,
11/19/2024,Battery Pack Correction: Smiths Medical Updates Use Instructions for CADD-Solis Li-ion Rechargeable Battery Packs Due to Risk That Pack Damage May Cause a Circuit Short and Prevent Recharge,Medical Devices,,
11/19/2024,"Ventilator Correction: Philips Updates Use Instructions for Trilogy Evo, EvoO2, EV300, Evo Universal, Aeris EVO, Garbin Evo, and LifeVent EVO2 due to Risk of Inaccurate Flow Measurements Caused By Certain In-Line Nebulizer Placements",Medical Devices,,
11/19/2024,"Anesthesia Machine Correction: Draeger, Inc., Issues Correction for Atlan A350 and A350 XL Anesthesia Workstations Due to Possible Mechanical Ventilation Failure",Medical Devices,,
11/19/2024,"Endo Expands Voluntary Recall of Clonazepam Orally Disintegrating Tablets, USP (C-IV) Due to Potential Product Carton Strength Mislabeling","Drugs, Mislabeling",,
11/15/2024,Endoscopic Vessel Harvesting System Recall: Getinge and Maquet Cardiovascular Remove VasoView HemoPro 1 and 1.5 Endoscopic Vessel,,,
11/06/2024,VitalityVita Issues Voluntary Nationwide Recall of VitalityXtra and PeakMax Capsules Due to the Presence of Undeclared Sildenafil and Diclofenac,"Dietary Supplements, Drugs, Unapproved Drug",,
