Date,Title,,,
12/11/2018,FDA alerts consumers not to use two e-liquids sold by HelloCig Electronic Technology,,,
12/7/2018,FDA alerts health care professionals and patients not to use drug products intended to be sterile from Promise Pharmacy,,,
11/19/2018,FDA alerts health care professionals and patients not to use sterile drug products from Pharm D Solutions,,,
11/8/2018,FDA alerts consumers of Kadesh Incorporation’s voluntary nationwide recall of Puriton Eye Relief Drops due to non-sterile production conditions,,,
11/2/2018,FDA alerts patients and health care professionals that some EpiPen auto-injectors may not readily slide out of carrier tube,,,
10/11/2018,FDA alerts consumers of Sprayology’s voluntary nationwide recall of homeopathic water-based medicines due to microbial contamination,,,
10/4/2018,FDA alerts consumers and pet owners of Silver Star Brand's voluntary nationwide recall of homeopathic drug products,,,
9/14/2018,FDA alerts consumers of BioLyte Laboratories voluntary recall of NeoRelief,,,
9/14/2018,FDA alerts consumers not to use products distributed by Years to Your Health,,,
9/7/2018,FDA alerts consumers of Beaumont Bio Med's voluntary recall of all water and alcohol-based products,,,
8/31/2018,"FDA alerts consumers of HelloLife's voluntary recall of Neuroveen, Respitrol, Thyroveev and Compulsin",,,
8/17/2018,"FDA alerts drug makers of a recall of porcine thyroid API from Sichuan Friendly Pharmaceutical Co., Limited, China",,,
7/10/2018,FDA announces Ranier's Rx Laboratory voluntary recall of all sterile compounded drug,,,
7/5/2018,FDA advises consumers not to use Blissful Remedies kratom products due to bacterial contamination,,,
6/29/2018,FDA advises health care professionals not to use MedGyn Products Monsel's Solution,,,
5/30/2018,"FDA alerts health care professionals, patients, and the drug supply chain not to use stolen fertility drugs, Gonal-f RFF Redi-ject and Gonal-f Multi-Dose",,,
4/13/2018,FDA alerts health care professionals to voluntary nationwide recall of all sterile products from Coastal Meds,,,
3/30/2018,FDA alerts consumers of a nationwide voluntary recall of topical drug products made by Industria Farmacéutica Andrómaco due to contamination,,,
3/16/2018,FDA is alerting consumers of a voluntary recall of Bayer's Alka-Seltzer Plus products due to labeling errors,,,
3/16/2018,FDA warns consumers not to use unapproved erectile dysfunction products advertised on the radio,,,
3/2/2018,FDA working with manufacturers to withdraw Zinbryta from the market in the United States,,,
1/12/2018,FDA notifies health care professionals that Becton-Dickinson replaced problematic rubber stoppers in its syringes,,,
10/27/2017,FDA updates on 2017 Burkholderia cepacia contamination,,,
9/1/2017,FDA alerts health care professionals and patients not to use alcohol pads or benzalkonium chloride antiseptic towelettes manufactured by Foshan Flying Medical Products,,,
8/21/2017,FDA warns consumers about health risks of herbal coffee products from Malaysia containing undeclared active pharmaceutical ingredients and milk,,,
8/10/2017,"FDA alerts health care professionals and patients not to use sterile drug products from Vital Rx, dba Atlantic Pharmacy and Compounding",,,
7/28/2017,FDA alerts health care professionals of adverse events associated with Guardian's compounded triamcinolone and moxifloxacin product for intravitreal injection,,,
10/12/2016,FDA updates on multistate outbreak of burkholderia cepacia Infections,,,
5/12/2016,FDA advises health care professionals that counterfeit BiCNU has been discovered in some foreign countries,,,
4/15/2016,"FDA alerts health care professionals not to use sterile drug products from Pharmakon Pharmaceuticals, Inc., Noblesville, Indiana",,,
4/15/2016,FDA issues three new draft guidances related to compounding of human drugs,,,
4/1/2016,"FDA alerts health care professionals and patients not to use sterile drug products from Medaus Pharmacy, Birmingham, Alabama",,,
3/30/2016,"FDA announces voluntary recall of all unexpired compounded drug products produced by Reliable Rexall, San Francisco",,,
3/23/2016,"FDA warns consumers not to use ""Best Bentonite Clay"" laboratory tests indicate elevated levels of lead",,,
3/14/2016,FDA alerts healthcare professionals about clinical trials with Zydelig (idelalisib) in combination with other cancer medicines,,,
3/9/2016,"FDA alerts health care professionals and patients not to use human and animal sterile drug products produced and distributed by I.V. Specialty, Ltd., Austin, Texas",,,
2/16/2016,FDA announces Pharmakon Pharmaceuticals voluntary recall of morphine sulfate 0.5 mg/mL preservative free in 0.9% sodium chloride,,,
2/10/2016,"FDA alerts compounding pharmacies of a nationwide voluntary recall of Syrspend SF and Syrspend SF Grape suspending agents from Fagron Inc., due to microbial contamination with yeast",,,
1/28/2016,FDA warns consumers about health risks with Alikay Naturals - Bentonite Me Baby - Bentonite Clay,,,
1/28/2016,"FDA warns consumers not to use Viansilk's ""Crema Piel De Seda"" (""Silky Skin Cream"")",,,
1/15/2016,FDA warns consumers not to use Licorice Coughing Liquid,,,
