drug_name,device_name,condition,old_dosage,new_dosage,old_warning,new_warning,old_indication,new_indication,recall_reason,risk_level,fda_approval_date,update_date,source_url,ndc_code,clinical_trial_id,patient_population,contraindications,adverse_events,mechanism_of_action,therapeutic_class,manufacturer,regulatory_status,clinical_significance,patient_safety_impact,compliance_deadline,adverse_event_count,recall_class,trial_phase,study_status,id
5-FLUOROURACIL,,"Ileus paralytic, Abdominal pain, Nausea",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Ileus paralytic, Abdominal pain",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003407,,,"Patients similar to case: 2, age 47",Enhanced screening for risk factors,"Ileus paralytic, Abdominal pain, Nausea",5-FLUOROURACIL mechanism with identified safety concern,Adverse Event Report,PHHY2014ES028076,FDA Adverse Event Report,"Adverse event pattern identified: Ileus paralytic, Abdominal pain",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0010
LETAIRIS,,"Headache, Vomiting, Blood pressure decreased",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Headache, Vomiting",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003420,,,"Patients similar to case: 2, age 75",Enhanced screening for risk factors,"Headache, Vomiting, Blood pressure decreased",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0063312,FDA Adverse Event Report,"Adverse event pattern identified: Headache, Vomiting",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0011
JAKAFI,,"Dry mouth, Dry eye, Lip dry",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Dry mouth, Dry eye",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003526,,,"Patients similar to case: 2, age 71",Enhanced screening for risk factors,"Dry mouth, Dry eye, Lip dry",JAKAFI mechanism with identified safety concern,Adverse Event Report,US-INCYTE CORPORATION-2013IN002944,FDA Adverse Event Report,"Adverse event pattern identified: Dry mouth, Dry eye",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0012
ACLASTA,,"Nasopharyngitis, Malaise, Pyrexia",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Nasopharyngitis, Malaise",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003549,,,"Patients similar to case: 2, age 62",Enhanced screening for risk factors,"Nasopharyngitis, Malaise, Pyrexia",ACLASTA mechanism with identified safety concern,Adverse Event Report,PHHY2014CA019452,FDA Adverse Event Report,"Adverse event pattern identified: Nasopharyngitis, Malaise",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0013
LISINOPRIL HCTZ,,"Hypertension, Dehydration, Night sweats",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Hypertension, Dehydration",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003582,,,"Patients similar to case: 1, age 58",Enhanced screening for risk factors,"Hypertension, Dehydration, Night sweats",LISINOPRIL HCTZ mechanism with identified safety concern,Adverse Event Report,US-ASTRAZENECA-2013SE54842,FDA Adverse Event Report,"Adverse event pattern identified: Hypertension, Dehydration",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0014
AUBAGIO,,"Muscle spasms, Condition aggravated, Pain",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Muscle spasms, Condition aggravated",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003594,,,"Patients similar to case: 2, age 48",Enhanced screening for risk factors,"Muscle spasms, Condition aggravated, Pain",AUBAGIO mechanism with identified safety concern,Adverse Event Report,US-SA-2014SA029533,FDA Adverse Event Report,"Adverse event pattern identified: Muscle spasms, Condition aggravated",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0015
LETAIRIS,,"Dizziness, Oedema, Dyspnoea",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Dizziness, Oedema",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003341,,,"Patients similar to case: 2, age 54",Enhanced screening for risk factors,"Dizziness, Oedema, Dyspnoea",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0058887,FDA Adverse Event Report,"Adverse event pattern identified: Dizziness, Oedema",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0016
LETAIRIS,,"Dizziness, Loss of consciousness, Fall",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Dizziness, Loss of consciousness",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003415,,,"Patients similar to case: 2, age 52",Enhanced screening for risk factors,"Dizziness, Loss of consciousness, Fall",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0063403,FDA Adverse Event Report,"Adverse event pattern identified: Dizziness, Loss of consciousness",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0017
LETAIRIS,,"Syncope, Dizziness",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Syncope, Dizziness",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003436,,,"Patients similar to case: 2, age 35",Enhanced screening for risk factors,"Syncope, Dizziness",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0061195,FDA Adverse Event Report,"Adverse event pattern identified: Syncope, Dizziness",Serious adverse event - enhanced monitoring required,2025-10-14,2,,,,GT-0018
LETAIRIS,,"Blister, Diarrhoea, Nausea",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Blister, Diarrhoea",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003611,,,"Patients similar to case: 2, age 35",Enhanced screening for risk factors,"Blister, Diarrhoea, Nausea",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0060053,FDA Adverse Event Report,"Adverse event pattern identified: Blister, Diarrhoea",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0019
TYVASO,,"Hypotension, Fatigue, Chest discomfort",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Hypotension, Fatigue",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003643,,,"Patients similar to case: 2, age 68",Enhanced screening for risk factors,"Hypotension, Fatigue, Chest discomfort",TYVASO mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0060101,FDA Adverse Event Report,"Adverse event pattern identified: Hypotension, Fatigue",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0020
DEPAKOTE,,"Dizziness, Lethargy, Gait disturbance",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Dizziness, Lethargy",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003668,,,"Patients similar to case: 2, age unknown",Enhanced screening for risk factors,"Dizziness, Lethargy, Gait disturbance",DEPAKOTE mechanism with identified safety concern,Adverse Event Report,US-ABBVIE-13P-163-1101504-00,FDA Adverse Event Report,"Adverse event pattern identified: Dizziness, Lethargy",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0021
LETAIRIS,,"Feeling abnormal, Insomnia, Unevaluable event",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Feeling abnormal, Insomnia",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003688,,,"Patients similar to case: 2, age 58",Enhanced screening for risk factors,"Feeling abnormal, Insomnia, Unevaluable event",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0059968,FDA Adverse Event Report,"Adverse event pattern identified: Feeling abnormal, Insomnia",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0022
LETAIRIS,,"Oedema, Fatigue, Dyspnoea exertional",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Oedema, Fatigue",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003316,,,"Patients similar to case: 2, age 73",Enhanced screening for risk factors,"Oedema, Fatigue, Dyspnoea exertional",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0057916,FDA Adverse Event Report,"Adverse event pattern identified: Oedema, Fatigue",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0023
LETAIRIS,,"Dyspnoea exertional, Fatigue",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Dyspnoea exertional, Fatigue",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003385,,,"Patients similar to case: 2, age 79",Enhanced screening for risk factors,"Dyspnoea exertional, Fatigue",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0062303,FDA Adverse Event Report,"Adverse event pattern identified: Dyspnoea exertional, Fatigue",Serious adverse event - enhanced monitoring required,2025-10-14,2,,,,GT-0024
LETAIRIS,,"Anaemia, Fatigue, Fibrosis",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Anaemia, Fatigue",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003419,,,"Patients similar to case: 2, age 75",Enhanced screening for risk factors,"Anaemia, Fatigue, Fibrosis",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0062200,FDA Adverse Event Report,"Adverse event pattern identified: Anaemia, Fatigue",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0025
LETAIRIS,,"Fatigue, Oedema peripheral, Drug ineffective",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Fatigue, Oedema peripheral",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003437,,,"Patients similar to case: 1, age 50",Enhanced screening for risk factors,"Fatigue, Oedema peripheral, Drug ineffective",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0058515,FDA Adverse Event Report,"Adverse event pattern identified: Fatigue, Oedema peripheral",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0026
LETAIRIS,,"Fatigue, Asthenia",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Fatigue, Asthenia",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003438,,,"Patients similar to case: 2, age 72",Enhanced screening for risk factors,"Fatigue, Asthenia",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0063259,FDA Adverse Event Report,"Adverse event pattern identified: Fatigue, Asthenia",Serious adverse event - enhanced monitoring required,2025-10-14,2,,,,GT-0027
LETAIRIS,,"Pain, Fatigue, Pain in extremity",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Pain, Fatigue",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003441,,,"Patients similar to case: 2, age 60",Enhanced screening for risk factors,"Pain, Fatigue, Pain in extremity",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0058797,FDA Adverse Event Report,"Adverse event pattern identified: Pain, Fatigue",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0028
TYVASO,,"Fatigue, Dyspnoea exertional",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Fatigue, Dyspnoea exertional",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003452,,,"Patients similar to case: 2, age 69",Enhanced screening for risk factors,"Fatigue, Dyspnoea exertional",TYVASO mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0061176,FDA Adverse Event Report,"Adverse event pattern identified: Fatigue, Dyspnoea exertional",Serious adverse event - enhanced monitoring required,2025-10-14,2,,,,GT-0029
LETAIRIS,,"Dyspnoea, Feeling abnormal, Fatigue",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Dyspnoea, Feeling abnormal",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003466,,,"Patients similar to case: 2, age 72",Enhanced screening for risk factors,"Dyspnoea, Feeling abnormal, Fatigue",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0063433,FDA Adverse Event Report,"Adverse event pattern identified: Dyspnoea, Feeling abnormal",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0030
PARACETAMOLO,,"Diarrhoea, Abdominal pain, Asthenia",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Diarrhoea, Abdominal pain",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003329,,,"Patients similar to case: 2, age 79",Enhanced screening for risk factors,"Diarrhoea, Abdominal pain, Asthenia",PARACETAMOLO mechanism with identified safety concern,Adverse Event Report,"IT-B.I. PHARMACEUTICALS,INC./RIDGEFIELD-2014-BI-09771BI",FDA Adverse Event Report,"Adverse event pattern identified: Diarrhoea, Abdominal pain",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0031
LETAIRIS,,"Decreased appetite, Fatigue, Abdominal pain",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Decreased appetite, Fatigue",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003504,,,"Patients similar to case: 2, age 74",Enhanced screening for risk factors,"Decreased appetite, Fatigue, Abdominal pain",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0059912,FDA Adverse Event Report,"Adverse event pattern identified: Decreased appetite, Fatigue",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0032
JAKAFI,,"Abdominal pain, Headache",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Abdominal pain, Headache",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003508,,,"Patients similar to case: 2, age 68",Enhanced screening for risk factors,"Abdominal pain, Headache",JAKAFI mechanism with identified safety concern,Adverse Event Report,US-INCYTE CORPORATION-2014IN000031,FDA Adverse Event Report,"Adverse event pattern identified: Abdominal pain, Headache",Serious adverse event - enhanced monitoring required,2025-10-14,2,,,,GT-0033
MIRENA,,"Vaginal haemorrhage, Amenorrhoea, Abdominal pain lower",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Vaginal haemorrhage, Amenorrhoea",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003515,,,"Patients similar to case: 2, age 40",Enhanced screening for risk factors,"Vaginal haemorrhage, Amenorrhoea, Abdominal pain lower",MIRENA mechanism with identified safety concern,Adverse Event Report,US-BAYER-2014-035629,FDA Adverse Event Report,"Adverse event pattern identified: Vaginal haemorrhage, Amenorrhoea",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0034
LETAIRIS,,"Headache, Abdominal pain, Insomnia",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Headache, Abdominal pain",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003564,,,"Patients similar to case: 2, age 44",Enhanced screening for risk factors,"Headache, Abdominal pain, Insomnia",LETAIRIS mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0059707,FDA Adverse Event Report,"Adverse event pattern identified: Headache, Abdominal pain",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0035
DEPAKOTE,,"Grand mal convulsion, Malaise, Abdominal pain upper",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Grand mal convulsion, Malaise",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003613,,,"Patients similar to case: 1, age unknown",Enhanced screening for risk factors,"Grand mal convulsion, Malaise, Abdominal pain upper",DEPAKOTE mechanism with identified safety concern,Adverse Event Report,US-ABBVIE-13P-163-1128793-00,FDA Adverse Event Report,"Adverse event pattern identified: Grand mal convulsion, Malaise",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0036
JANUVIA,,"Diarrhoea, Abdominal pain upper",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Diarrhoea, Abdominal pain upper",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003640,,,"Patients similar to case: 2, age unknown",Enhanced screening for risk factors,"Diarrhoea, Abdominal pain upper",JANUVIA mechanism with identified safety concern,Adverse Event Report,US-009507513-1403USA005112,FDA Adverse Event Report,"Adverse event pattern identified: Diarrhoea, Abdominal pain upper",Serious adverse event - enhanced monitoring required,2025-10-14,2,,,,GT-0037
KLACID,,"Swollen tongue, Pruritus, Rash generalised",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Swollen tongue, Pruritus",As approved,Use with enhanced monitoring,,Critical,,2025-09-14,https://fda.gov/adverse-event/10003338,,,"Patients similar to case: 2, age 34",Enhanced screening for risk factors,"Swollen tongue, Pruritus, Rash generalised",KLACID mechanism with identified safety concern,Adverse Event Report,IT-ABBVIE-14P-083-1210488-00,FDA Adverse Event Report,"Adverse event pattern identified: Swollen tongue, Pruritus",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0038
ADCIRCA,,"Drug hypersensitivity, Pruritus, Rash",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Drug hypersensitivity, Pruritus",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003364,,,"Patients similar to case: 2, age 31",Enhanced screening for risk factors,"Drug hypersensitivity, Pruritus, Rash",ADCIRCA mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0058852,FDA Adverse Event Report,"Adverse event pattern identified: Drug hypersensitivity, Pruritus",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0039
REVATIO,,Rash,Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,Enhanced monitoring for: Rash,As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003422,,,"Patients similar to case: 2, age 82",Enhanced screening for risk factors,Rash,REVATIO mechanism with identified safety concern,Adverse Event Report,US-GILEAD-2012-0063417,FDA Adverse Event Report,Adverse event pattern identified: Rash,Serious adverse event - enhanced monitoring required,2025-10-14,1,,,,GT-0040
ZETIA,,"Hypersensitivity, Rash, Pain",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Hypersensitivity, Rash",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003492,,,"Patients similar to case: 2, age unknown",Enhanced screening for risk factors,"Hypersensitivity, Rash, Pain",ZETIA mechanism with identified safety concern,Adverse Event Report,US-009507513-1403USA004826,FDA Adverse Event Report,"Adverse event pattern identified: Hypersensitivity, Rash",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0041
DEPAKOTE,,Rash,Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,Enhanced monitoring for: Rash,As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003663,,,"Patients similar to case: 2, age unknown",Enhanced screening for risk factors,Rash,DEPAKOTE mechanism with identified safety concern,Adverse Event Report,US-ABBVIE-13P-163-1082120-00,FDA Adverse Event Report,Adverse event pattern identified: Rash,Serious adverse event - enhanced monitoring required,2025-10-14,1,,,,GT-0042
JAKAFI,,"Rash, Dyspnoea",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Rash, Dyspnoea",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003713,,,"Patients similar to case: 2, age unknown",Enhanced screening for risk factors,"Rash, Dyspnoea",JAKAFI mechanism with identified safety concern,Adverse Event Report,US-INCYTE CORPORATION-2014IN000100,FDA Adverse Event Report,"Adverse event pattern identified: Rash, Dyspnoea",Serious adverse event - enhanced monitoring required,2025-10-14,2,,,,GT-0043
DEPAKOTE,,"Malaise, Drug dispensing error, Rash",Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,"Enhanced monitoring for: Malaise, Drug dispensing error",As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003800,,,"Patients similar to case: 2, age unknown",Enhanced screening for risk factors,"Malaise, Drug dispensing error, Rash",DEPAKOTE mechanism with identified safety concern,Adverse Event Report,US-ABBVIE-13P-163-1082259-00,FDA Adverse Event Report,"Adverse event pattern identified: Malaise, Drug dispensing error",Serious adverse event - enhanced monitoring required,2025-10-14,3,,,,GT-0044
