Date,Title,,,
2/21/2020,"FDA launches new resource to provide easily accessible, more accurate historical drug approval data",,,
1/30/2020,"FDA revises generic drug application prioritization policy to ensure fairness to applicants, efficiently allocate limited agency resources, and protect the public health",,,
7/5/2019,FDA issues guidance on compounding oral oxitriptan (5-HTP) for patients with tetrahydrobiopterin (BH4) deficiency ,,,
5/21/2019,FDA issues draft guidance for industry on the design and evaluation of comparative analytical studies for biosimilarity,,,
5/2/2019,Communications with stakeholders concerning access to compounded oral oxitriptan for patients with tetrahydrobiopterin deficiency,,,
4/29/2019,FDA reminds imaging facilities to follow safety procedures for rubidium 82 generators used in Positron Emission Tomography (PET) myocardial perfusion imaging,,,
3/21/2019,FDA warns about the risks associated with the investigational use of Venclexta in Multiple Myeloma,,,
9/26/2018,FDA announces new and expanded compounding research projects,,,
9/20/2018,"FDA analysis finds no new or unexpected safety risks associated with Nuplazid (pimavanserin), a medication to treat the hallucinations and delusions of Parkinson's disease psychosis",,,
7/18/2018,"FDA updates and press announcements on angiotensin II receptor blocker (ARB) recalls (Valsartan, Losartan, and Irbesartan)",,,
6/28/2018,FDA approves labeling supplement for Celebrex (celecoxib),,,
6/21/2018,FDA withdraws draft guidance for industry: Statistical Approaches to Evaluate Analytical Similarity,,,
5/22/2018,FDA video series about biosimilar and interchangeable products,,,
5/18/2018,FDA alerts health care professionals and oncology clinical investigators about an efficacy issue identified in clinical trials for some patients taking Keytruda (pembrolizumab) or Tecentriq (atezolizumab) as monotherapy to treat urothelial cancer with low expression of PD-L1,,,
5/16/2018,FDA reports quality problems for data provided by the firm IQVIA that were used to inform estimates for some controlled substances,,,
3/14/2018,FDA working with manufacturers to withdraw Zinbryta from the market in the United States,,,
12/14/2017,"FDA reminds pharmaceutical industry of new drug listing certification requirement due December 31, 2017",,,
11/14/2017,FDA works to help relieve the IV fluid shortages in wake of Hurricane Maria,,,
9/8/2017,FDA warns Meridian Medical Technologies about CGMP violations associated with the manufacture of EpiPen,,,
8/31/2017,FDA alerts healthcare professionals and oncology clinical investigators about two clinical trials on hold evaluating KEYTRUDA® (pembrolizumab) in patients with multiple myeloma,,,
8/4/2017,FDA warns consumers not to use Balguti Kesaria Ayurvedic Medicine due to high levels of lead,,,
6/20/2017,FDA issues warning about body-building products labeled to contain steroid and steroid-like substances,,,
5/22/2017,"FDA advises drug manufacturers that Burkholderia cepacia complex poses a contamination risk in non-sterile, water-based drug product",,,
4/13/2017,FDA announces Standard Homeopathic Company's nationwide voluntary recall of Hyland's teething tablets,,,
1/17/2017,FDA approves a generic of Xyrem with a REMS Program,,,
1/12/2017,"FDA issues final guidance on repackaging and revised draft guidance on mixing, diluting, and repackaging biological products",,,
1/10/2017,FDA warns cancer patients not to use PNC-27 products for treatment,,,
1/9/2017,Impact of exclusivity on approval of Arymo ER,,,
12/28/2016,FDA issues guidance on prescription requirement under section 503A,,,
12/28/2016,FDA issues draft guidances on compounding and repackaging radiopharmaceuticals,,,
12/15/2016,FDA proposes six bulk drug substances for inclusion on the 503A bulks list,,,
10/25/2016,FDA approves new changes to testosterone labeling regarding the risks associated with abuse and dependence of testosterone and other anabolic androgenic steroids (AAS),,,
10/17/2016,Proposed rule to amend the list of drug products that may not be compounded because they have been withdrawn or removed from the market for safety and effectiveness reasons,,,
10/11/2016,FDA analyses conclude that Xarelto clinical trial results were not affected by faulty monitoring device,,,
10/6/2016,Final rule amending list of drug products that may not be compounded because they have been withdrawn or removed from the market for safety or effectiveness reasons,,,
8/12/2016,FDA finds drugs under investigation in the U.S. related to French BIA 10-2474 drug do not pose similar safety risks,,,
8/3/2016,FDA issues draft guidance on insanitary conditions at compounding facilities,,,
7/8/2016,FDA approves a dedicated syringe to be used with Humulin R U-500 insulin,,,
7/7/2016,FDA issues proposals to implement statutory restrictions on compounding drugs that are essentially copies of commercially available or approved drugs,,,
6/9/2016,FDA issues final guidances on interim policy for certain bulk drug substances used in compounding,,,
5/26/2016,Neonatal opioid withdrawal syndrome and medication-assisted treatment with methadone and buprenorphine,,,
3/15/2016,FDA warns consumers about potential risks of using eye drops packaged in bottles with loose safety seals,,,
1/22/2016,FDA works with regulatory partners to understand French-based Biotrial phase 1 clinical study,,,
1/31/2010,FDA requests withdrawal of bacitracin for injection from market,,,
 , ,,,
